ID	LABEL	A IAO:0000115	SC %	SC BFO:0000050 some %	A oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	SC dc:contributor some %	SC RO:0002175 some %
ID	LABEL	A IAO:0000115	SC %	SC BFO:0000050 some %	A oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	SC dc:contributor some %	SC RO:0002175 some %
http://purl.obolibrary.org/obo/UBERON_1200004	acetabular fossa of os coxa	A bone fossa forming the non-articular central floor of the acetabulum of the os coxa (innominate bone), occupied by a mass of fatty tissue covered by synovial membrane and providing attachment for the ligament of the head of the femur (ligamentum teres).	UBERON:0004704	UBERON:0001272	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Hip_bone	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200005	acetabular notch of os coxa	A bone foramen forming a gap in the inferior margin of the acetabular rim of the os coxa (innominate bone), bridged by the transverse acetabular ligament to complete the socket and transmit vessels and nerves to the hip joint.	UBERON:0005744	UBERON:0001272	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Hip_bone	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200006	acetabulum of os coxa	A zone of bone organ forming the deep, cup-shaped socket on the lateral surface of the os coxa (innominate bone), created by the fusion of the ilium, ischium, and pubis, which articulates with the head of the femur to form the hip joint.	UBERON:0005913	UBERON:0001272	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Hip_bone	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200007	acromial process of scapula	A skeletal element projection forming the flattened lateral continuation of the scapular spine, overhanging the glenohumeral joint and articulating with the lateral end of the clavicle at the acromioclavicular joint; it provides attachment for the deltoid muscle anteriorly and the trapezius posteriorly.	UBERON:4100000	UBERON:0006849	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Scapula	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200008	alae of sacrum	A skeletal element projection forming the broad, wing-like lateral expansions of the sacral base, lateral to the body of S1, that articulate with the ilium at the sacroiliac joints and support the weight transfer between the vertebral column and the pelvic girdle.	UBERON:4100000	UBERON:0003690	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Sacrum	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200009	alveolar border of mandible	A zone of bone organ forming the superior margin of the mandibular body, bearing the dental alveoli (sockets) that house the roots of the lower teeth.	UBERON:0005913	UBERON:0001684	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Mandible	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200010	anterior arch of first cervical vertebra	An arch of atlas forming the anterior curved bar of the ring-shaped atlas (C1), spanning between the two lateral masses and bearing the anterior tubercle on its outer surface; it articulates with the dens of the axis via a synovial facet on its posterior surface.	UBERON:0005814	UBERON:0001092	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Atlas_(anatomy)	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200011	anterior clinoid process of sphenoid bone	A skeletal element projection situated at the medial end of the posterior border of each lesser wing of the sphenoid bone, projecting posteromedially above the cavernous sinus; it provides attachment for the free edge of the tentorium cerebelli and serves as an important surgical landmark for the internal carotid artery.	UBERON:4100000	UBERON:0001677	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Sphenoid_bone	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200012	anterior ethmoidal foramen of ethmoid bone	A bone foramen located in the medial wall of the orbit that transmits the anterior ethmoidal artery, vein, and nerve between the orbit and the anterior cranial fossa.	UBERON:0005744	UBERON:0001679	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Ethmoid_bone	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
http://purl.obolibrary.org/obo/UBERON_1200013	anterior gluteal line of ilium of os coxa	A zone of bone organ forming a curved ridge on the gluteal surface of the ilium of the os coxa (innominate bone), running from the iliac crest toward the greater sciatic notch and separating the areas of origin of the gluteus medius superiorly from the gluteus minimus inferiorly.	UBERON:0005913	UBERON:0001272	https://fipat.library.dal.ca/ta2/|ISBN:9780323393225|Wikipedia:Hip_bone	http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-03-19T00:00:00Z	https://orcid.org/0000-0002-7073-9172	http://purl.obolibrary.org/obo/NCBITaxon_9606
